"seccion","tipo","nombre_municipio","cabecera_distrital_local"
"526","U","AGUASCALIENTES","AGUASCALIENTES"
"527","U","AGUASCALIENTES","AGUASCALIENTES"
"528","U","AGUASCALIENTES","AGUASCALIENTES"
"529","U","AGUASCALIENTES","AGUASCALIENTES"
"530","U","AGUASCALIENTES","AGUASCALIENTES"
"531","U","AGUASCALIENTES","AGUASCALIENTES"
"532","U","AGUASCALIENTES","AGUASCALIENTES"
"533","U","AGUASCALIENTES","AGUASCALIENTES"
"534","U","AGUASCALIENTES","AGUASCALIENTES"
"535","U","AGUASCALIENTES","AGUASCALIENTES"
"536","U","AGUASCALIENTES","AGUASCALIENTES"
"537","U","AGUASCALIENTES","AGUASCALIENTES"
"538","U","AGUASCALIENTES","AGUASCALIENTES"
"539","U","AGUASCALIENTES","AGUASCALIENTES"
"540","U","AGUASCALIENTES","AGUASCALIENTES"
"541","U","AGUASCALIENTES","AGUASCALIENTES"
"542","U","AGUASCALIENTES","AGUASCALIENTES"
"543","U","AGUASCALIENTES","AGUASCALIENTES"
"544","U","AGUASCALIENTES","AGUASCALIENTES"
"545","U","AGUASCALIENTES","AGUASCALIENTES"
"546","U","AGUASCALIENTES","AGUASCALIENTES"
"547","U","AGUASCALIENTES","AGUASCALIENTES"
"548","U","AGUASCALIENTES","AGUASCALIENTES"
"549","U","AGUASCALIENTES","AGUASCALIENTES"
"550","U","AGUASCALIENTES","AGUASCALIENTES"
"551","U","AGUASCALIENTES","AGUASCALIENTES"
"552","U","AGUASCALIENTES","AGUASCALIENTES"
"553","U","AGUASCALIENTES","AGUASCALIENTES"
"554","U","AGUASCALIENTES","AGUASCALIENTES"
"555","U","AGUASCALIENTES","AGUASCALIENTES"
"556","U","AGUASCALIENTES","AGUASCALIENTES"
"557","U","AGUASCALIENTES","AGUASCALIENTES"
"558","U","AGUASCALIENTES","AGUASCALIENTES"
"559","U","AGUASCALIENTES","AGUASCALIENTES"
"560","U","AGUASCALIENTES","AGUASCALIENTES"
"561","U","AGUASCALIENTES","AGUASCALIENTES"
"562","U","AGUASCALIENTES","AGUASCALIENTES"
"563","U","AGUASCALIENTES","AGUASCALIENTES"
"564","U","AGUASCALIENTES","AGUASCALIENTES"
"565","U","AGUASCALIENTES","AGUASCALIENTES"
"566","U","AGUASCALIENTES","AGUASCALIENTES"
"567","U","AGUASCALIENTES","AGUASCALIENTES"
"568","U","AGUASCALIENTES","AGUASCALIENTES"
"569","U","AGUASCALIENTES","AGUASCALIENTES"
"570","U","AGUASCALIENTES","AGUASCALIENTES"
"571","U","AGUASCALIENTES","AGUASCALIENTES"
"572","U","AGUASCALIENTES","AGUASCALIENTES"
"573","M","AGUASCALIENTES","AGUASCALIENTES"
"574","U","AGUASCALIENTES","AGUASCALIENTES"
"575","M","AGUASCALIENTES","AGUASCALIENTES"
"576","U","AGUASCALIENTES","AGUASCALIENTES"
"577","M","AGUASCALIENTES","AGUASCALIENTES"
"578","U","AGUASCALIENTES","AGUASCALIENTES"
"579","U","AGUASCALIENTES","AGUASCALIENTES"
"580","U","AGUASCALIENTES","AGUASCALIENTES"
"581","U","AGUASCALIENTES","AGUASCALIENTES"
"582","U","AGUASCALIENTES","AGUASCALIENTES"
"583","U","AGUASCALIENTES","AGUASCALIENTES"
"584","U","AGUASCALIENTES","AGUASCALIENTES"
"585","U","AGUASCALIENTES","AGUASCALIENTES"
"586","U","AGUASCALIENTES","AGUASCALIENTES"
"587","U","AGUASCALIENTES","AGUASCALIENTES"
"588","U","AGUASCALIENTES","AGUASCALIENTES"
"589","M","AGUASCALIENTES","AGUASCALIENTES"
"590","U","AGUASCALIENTES","AGUASCALIENTES"
"591","U","AGUASCALIENTES","AGUASCALIENTES"
"592","U","AGUASCALIENTES","AGUASCALIENTES"
"593","U","AGUASCALIENTES","AGUASCALIENTES"
"594","U","AGUASCALIENTES","AGUASCALIENTES"
"595","U","AGUASCALIENTES","AGUASCALIENTES"
"596","U","AGUASCALIENTES","AGUASCALIENTES"
"597","U","AGUASCALIENTES","AGUASCALIENTES"
"598","U","AGUASCALIENTES","AGUASCALIENTES"
"599","U","AGUASCALIENTES","AGUASCALIENTES"
"600","U","AGUASCALIENTES","AGUASCALIENTES"
"601","U","AGUASCALIENTES","AGUASCALIENTES"
"602","U","AGUASCALIENTES","AGUASCALIENTES"
"603","U","AGUASCALIENTES","AGUASCALIENTES"
"604","U","AGUASCALIENTES","AGUASCALIENTES"
"605","U","AGUASCALIENTES","AGUASCALIENTES"
"606","U","AGUASCALIENTES","AGUASCALIENTES"
"607","U","AGUASCALIENTES","AGUASCALIENTES"
"1","U","AGUASCALIENTES","AGUASCALIENTES"
"2","U","AGUASCALIENTES","AGUASCALIENTES"
"3","U","AGUASCALIENTES","AGUASCALIENTES"
"4","U","AGUASCALIENTES","AGUASCALIENTES"
"5","U","AGUASCALIENTES","AGUASCALIENTES"
"6","U","AGUASCALIENTES","AGUASCALIENTES"
"7","U","AGUASCALIENTES","AGUASCALIENTES"
"8","U","AGUASCALIENTES","AGUASCALIENTES"
"9","U","AGUASCALIENTES","AGUASCALIENTES"
"10","U","AGUASCALIENTES","AGUASCALIENTES"
"11","U","AGUASCALIENTES","AGUASCALIENTES"
"12","U","AGUASCALIENTES","AGUASCALIENTES"
"13","U","AGUASCALIENTES","AGUASCALIENTES"
"14","U","AGUASCALIENTES","AGUASCALIENTES"
"15","U","AGUASCALIENTES","AGUASCALIENTES"
"16","U","AGUASCALIENTES","AGUASCALIENTES"
"17","U","AGUASCALIENTES","AGUASCALIENTES"
"18","U","AGUASCALIENTES","AGUASCALIENTES"
"19","U","AGUASCALIENTES","AGUASCALIENTES"
"20","U","AGUASCALIENTES","AGUASCALIENTES"
"21","U","AGUASCALIENTES","AGUASCALIENTES"
"22","U","AGUASCALIENTES","AGUASCALIENTES"
"23","U","AGUASCALIENTES","AGUASCALIENTES"
"24","U","AGUASCALIENTES","AGUASCALIENTES"
"25","U","AGUASCALIENTES","AGUASCALIENTES"
"26","U","AGUASCALIENTES","AGUASCALIENTES"
"27","U","AGUASCALIENTES","AGUASCALIENTES"
"28","U","AGUASCALIENTES","AGUASCALIENTES"
"29","U","AGUASCALIENTES","AGUASCALIENTES"
"30","U","AGUASCALIENTES","AGUASCALIENTES"
"31","U","AGUASCALIENTES","AGUASCALIENTES"
"32","U","AGUASCALIENTES","AGUASCALIENTES"
"33","U","AGUASCALIENTES","AGUASCALIENTES"
"34","U","AGUASCALIENTES","AGUASCALIENTES"
"35","U","AGUASCALIENTES","AGUASCALIENTES"
"36","U","AGUASCALIENTES","AGUASCALIENTES"
"37","U","AGUASCALIENTES","AGUASCALIENTES"
"38","U","AGUASCALIENTES","AGUASCALIENTES"
"39","U","AGUASCALIENTES","AGUASCALIENTES"
"40","U","AGUASCALIENTES","AGUASCALIENTES"
"41","U","AGUASCALIENTES","AGUASCALIENTES"
"42","U","AGUASCALIENTES","AGUASCALIENTES"
"43","U","AGUASCALIENTES","AGUASCALIENTES"
"44","U","AGUASCALIENTES","AGUASCALIENTES"
"45","U","AGUASCALIENTES","AGUASCALIENTES"
"46","U","AGUASCALIENTES","AGUASCALIENTES"
"47","U","AGUASCALIENTES","AGUASCALIENTES"
"48","U","AGUASCALIENTES","AGUASCALIENTES"
"49","U","AGUASCALIENTES","AGUASCALIENTES"
"50","U","AGUASCALIENTES","AGUASCALIENTES"
"51","U","AGUASCALIENTES","AGUASCALIENTES"
"52","U","AGUASCALIENTES","AGUASCALIENTES"
"53","U","AGUASCALIENTES","AGUASCALIENTES"
"54","U","AGUASCALIENTES","AGUASCALIENTES"
"55","U","AGUASCALIENTES","AGUASCALIENTES"
"56","U","AGUASCALIENTES","AGUASCALIENTES"
"57","U","AGUASCALIENTES","AGUASCALIENTES"
"58","U","AGUASCALIENTES","AGUASCALIENTES"
"59","U","AGUASCALIENTES","AGUASCALIENTES"
"60","U","AGUASCALIENTES","AGUASCALIENTES"
"61","U","AGUASCALIENTES","AGUASCALIENTES"
"62","U","AGUASCALIENTES","AGUASCALIENTES"
"63","U","AGUASCALIENTES","AGUASCALIENTES"
"64","U","AGUASCALIENTES","AGUASCALIENTES"
"65","U","AGUASCALIENTES","AGUASCALIENTES"
"66","U","AGUASCALIENTES","AGUASCALIENTES"
"67","U","AGUASCALIENTES","AGUASCALIENTES"
"68","U","AGUASCALIENTES","AGUASCALIENTES"
"69","U","AGUASCALIENTES","AGUASCALIENTES"
"70","U","AGUASCALIENTES","AGUASCALIENTES"
"71","U","AGUASCALIENTES","AGUASCALIENTES"
"72","U","AGUASCALIENTES","AGUASCALIENTES"
"73","U","AGUASCALIENTES","AGUASCALIENTES"
"74","U","AGUASCALIENTES","AGUASCALIENTES"
"75","U","AGUASCALIENTES","AGUASCALIENTES"
"76","U","AGUASCALIENTES","AGUASCALIENTES"
"77","U","AGUASCALIENTES","AGUASCALIENTES"
"78","U","AGUASCALIENTES","AGUASCALIENTES"
"79","U","AGUASCALIENTES","AGUASCALIENTES"
"80","M","AGUASCALIENTES","AGUASCALIENTES"
"82","U","AGUASCALIENTES","AGUASCALIENTES"
"83","M","AGUASCALIENTES","AGUASCALIENTES"
"84","U","AGUASCALIENTES","AGUASCALIENTES"
"85","U","AGUASCALIENTES","AGUASCALIENTES"
"86","U","AGUASCALIENTES","AGUASCALIENTES"
"87","U","AGUASCALIENTES","AGUASCALIENTES"
"88","U","AGUASCALIENTES","AGUASCALIENTES"
"89","U","AGUASCALIENTES","AGUASCALIENTES"
"90","U","AGUASCALIENTES","AGUASCALIENTES"
"91","U","AGUASCALIENTES","AGUASCALIENTES"
"92","U","AGUASCALIENTES","AGUASCALIENTES"
"93","U","AGUASCALIENTES","AGUASCALIENTES"
"94","U","AGUASCALIENTES","AGUASCALIENTES"
"95","U","AGUASCALIENTES","AGUASCALIENTES"
"96","U","AGUASCALIENTES","AGUASCALIENTES"
"97","U","AGUASCALIENTES","AGUASCALIENTES"
"99","U","AGUASCALIENTES","AGUASCALIENTES"
"100","U","AGUASCALIENTES","AGUASCALIENTES"
"101","U","AGUASCALIENTES","AGUASCALIENTES"
"102","U","AGUASCALIENTES","AGUASCALIENTES"
"103","U","AGUASCALIENTES","AGUASCALIENTES"
"104","U","AGUASCALIENTES","AGUASCALIENTES"
"105","U","AGUASCALIENTES","AGUASCALIENTES"
"106","U","AGUASCALIENTES","AGUASCALIENTES"
"107","U","AGUASCALIENTES","AGUASCALIENTES"
"108","U","AGUASCALIENTES","AGUASCALIENTES"
"109","U","AGUASCALIENTES","AGUASCALIENTES"
"110","U","AGUASCALIENTES","AGUASCALIENTES"
"111","U","AGUASCALIENTES","AGUASCALIENTES"
"112","U","AGUASCALIENTES","AGUASCALIENTES"
"113","U","AGUASCALIENTES","AGUASCALIENTES"
"114","U","AGUASCALIENTES","AGUASCALIENTES"
"115","U","AGUASCALIENTES","AGUASCALIENTES"
"116","U","AGUASCALIENTES","AGUASCALIENTES"
"117","U","AGUASCALIENTES","AGUASCALIENTES"
"118","U","AGUASCALIENTES","AGUASCALIENTES"
"119","U","AGUASCALIENTES","AGUASCALIENTES"
"120","U","AGUASCALIENTES","AGUASCALIENTES"
"121","U","AGUASCALIENTES","AGUASCALIENTES"
"122","U","AGUASCALIENTES","AGUASCALIENTES"
"123","U","AGUASCALIENTES","AGUASCALIENTES"
"124","U","AGUASCALIENTES","AGUASCALIENTES"
"125","U","AGUASCALIENTES","AGUASCALIENTES"
"126","U","AGUASCALIENTES","AGUASCALIENTES"
"127","U","AGUASCALIENTES","AGUASCALIENTES"
"128","U","AGUASCALIENTES","AGUASCALIENTES"
"129","U","AGUASCALIENTES","AGUASCALIENTES"
"130","U","AGUASCALIENTES","AGUASCALIENTES"
"131","U","AGUASCALIENTES","AGUASCALIENTES"
"132","U","AGUASCALIENTES","AGUASCALIENTES"
"133","U","AGUASCALIENTES","AGUASCALIENTES"
"134","U","AGUASCALIENTES","AGUASCALIENTES"
"135","U","AGUASCALIENTES","AGUASCALIENTES"
"136","U","AGUASCALIENTES","AGUASCALIENTES"
"137","U","AGUASCALIENTES","AGUASCALIENTES"
"138","U","AGUASCALIENTES","AGUASCALIENTES"
"139","U","AGUASCALIENTES","AGUASCALIENTES"
"140","U","AGUASCALIENTES","AGUASCALIENTES"
"141","U","AGUASCALIENTES","AGUASCALIENTES"
"142","U","AGUASCALIENTES","AGUASCALIENTES"
"143","U","AGUASCALIENTES","AGUASCALIENTES"
"144","U","AGUASCALIENTES","AGUASCALIENTES"
"145","U","AGUASCALIENTES","AGUASCALIENTES"
"146","U","AGUASCALIENTES","AGUASCALIENTES"
"147","U","AGUASCALIENTES","AGUASCALIENTES"
"148","U","AGUASCALIENTES","AGUASCALIENTES"
"149","U","AGUASCALIENTES","AGUASCALIENTES"
"150","U","AGUASCALIENTES","AGUASCALIENTES"
"151","U","AGUASCALIENTES","AGUASCALIENTES"
"152","U","AGUASCALIENTES","AGUASCALIENTES"
"153","U","AGUASCALIENTES","AGUASCALIENTES"
"154","U","AGUASCALIENTES","AGUASCALIENTES"
"155","U","AGUASCALIENTES","AGUASCALIENTES"
"156","U","AGUASCALIENTES","AGUASCALIENTES"
"157","U","AGUASCALIENTES","AGUASCALIENTES"
"158","U","AGUASCALIENTES","AGUASCALIENTES"
"159","U","AGUASCALIENTES","AGUASCALIENTES"
"160","U","AGUASCALIENTES","AGUASCALIENTES"
"161","U","AGUASCALIENTES","AGUASCALIENTES"
"162","U","AGUASCALIENTES","AGUASCALIENTES"
"163","U","AGUASCALIENTES","AGUASCALIENTES"
"164","U","AGUASCALIENTES","AGUASCALIENTES"
"165","U","AGUASCALIENTES","AGUASCALIENTES"
"167","U","AGUASCALIENTES","AGUASCALIENTES"
"168","U","AGUASCALIENTES","AGUASCALIENTES"
"169","U","AGUASCALIENTES","AGUASCALIENTES"
"170","U","AGUASCALIENTES","AGUASCALIENTES"
"171","U","AGUASCALIENTES","AGUASCALIENTES"
"172","U","AGUASCALIENTES","AGUASCALIENTES"
"173","U","AGUASCALIENTES","AGUASCALIENTES"
"174","U","AGUASCALIENTES","AGUASCALIENTES"
"175","U","AGUASCALIENTES","AGUASCALIENTES"
"176","U","AGUASCALIENTES","AGUASCALIENTES"
"177","U","AGUASCALIENTES","AGUASCALIENTES"
"178","U","AGUASCALIENTES","AGUASCALIENTES"
"179","U","AGUASCALIENTES","AGUASCALIENTES"
"180","U","AGUASCALIENTES","AGUASCALIENTES"
"181","U","AGUASCALIENTES","AGUASCALIENTES"
"182","U","AGUASCALIENTES","AGUASCALIENTES"
"183","U","AGUASCALIENTES","AGUASCALIENTES"
"184","U","AGUASCALIENTES","AGUASCALIENTES"
"185","U","AGUASCALIENTES","AGUASCALIENTES"
"186","U","AGUASCALIENTES","AGUASCALIENTES"
"187","U","AGUASCALIENTES","AGUASCALIENTES"
"188","U","AGUASCALIENTES","AGUASCALIENTES"
"189","U","AGUASCALIENTES","AGUASCALIENTES"
"190","U","AGUASCALIENTES","AGUASCALIENTES"
"191","U","AGUASCALIENTES","AGUASCALIENTES"
"192","U","AGUASCALIENTES","AGUASCALIENTES"
"193","U","AGUASCALIENTES","AGUASCALIENTES"
"194","U","AGUASCALIENTES","AGUASCALIENTES"
"195","U","AGUASCALIENTES","AGUASCALIENTES"
"196","U","AGUASCALIENTES","AGUASCALIENTES"
"197","U","AGUASCALIENTES","AGUASCALIENTES"
"198","U","AGUASCALIENTES","AGUASCALIENTES"
"199","U","AGUASCALIENTES","AGUASCALIENTES"
"200","U","AGUASCALIENTES","AGUASCALIENTES"
"201","U","AGUASCALIENTES","AGUASCALIENTES"
"202","U","AGUASCALIENTES","AGUASCALIENTES"
"203","U","AGUASCALIENTES","AGUASCALIENTES"
"204","U","AGUASCALIENTES","AGUASCALIENTES"
"205","U","AGUASCALIENTES","AGUASCALIENTES"
"206","U","AGUASCALIENTES","AGUASCALIENTES"
"207","U","AGUASCALIENTES","AGUASCALIENTES"
"208","U","AGUASCALIENTES","AGUASCALIENTES"
"209","U","AGUASCALIENTES","AGUASCALIENTES"
"210","U","AGUASCALIENTES","AGUASCALIENTES"
"211","U","AGUASCALIENTES","AGUASCALIENTES"
"212","U","AGUASCALIENTES","AGUASCALIENTES"
"213","U","AGUASCALIENTES","AGUASCALIENTES"
"214","U","AGUASCALIENTES","AGUASCALIENTES"
"215","U","AGUASCALIENTES","AGUASCALIENTES"
"216","U","AGUASCALIENTES","AGUASCALIENTES"
"217","U","AGUASCALIENTES","AGUASCALIENTES"
"218","U","AGUASCALIENTES","AGUASCALIENTES"
"219","U","AGUASCALIENTES","AGUASCALIENTES"
"220","U","AGUASCALIENTES","AGUASCALIENTES"
"221","U","AGUASCALIENTES","AGUASCALIENTES"
